src 	 time 	 tahrs 	 bank 	 attitude 	 heading 	 traw 	 acc[0] 	 acc[1] 	 acc[2] 	 mag[0] 	 mag[1] 	 mag[2] 	 gyr[0] 	 gyr[1] 	 gyr[2]
1 	 2.543960 	 1979256.000000 	 -101.156113 	 -78.690170 	 311.044159 	 1979256.000000 	 -9.966961 	 -2.040480 	 0.470880 	 -0.673134 	 -0.029851 	 0.274627 	 0.000000 	 0.004887 	 0.023213
2 	 2.549602 	 1973116.000000 	 107.513412 	 -68.322693 	 200.483383 	 1973116.000000 	 -9.613801 	 3.649320 	 1.216440 	 -0.311940 	 -0.234328 	 0.882090 	 0.010996 	 0.000000 	 0.010996
1 	 2.584254 	 1979266.000000 	 -101.147339 	 -78.689217 	 311.055511 	 1979266.000000 	 -9.966961 	 -2.001240 	 0.392400 	 -0.661194 	 -0.031343 	 0.258209 	 0.002443 	 0.009774 	 0.024435
1 	 2.612717 	 1979286.000000 	 -101.167183 	 -78.680023 	 311.044006 	 1979286.000000 	 -10.045441 	 -2.001240 	 0.392400 	 -0.667164 	 -0.034328 	 0.264179 	 0.004887 	 0.007330 	 0.020769
2 	 2.618346 	 1973166.000000 	 107.487358 	 -68.318764 	 200.462845 	 1973166.000000 	 -9.574560 	 3.570840 	 0.981000 	 -0.319403 	 -0.234328 	 0.886567 	 0.008552 	 0.007330 	 0.020769
1 	 2.641166 	 1979307.000000 	 -101.035873 	 -78.687439 	 311.174133 	 1979307.000000 	 -9.966961 	 -1.922760 	 0.117720 	 -0.676119 	 -0.032836 	 0.271642 	 0.000000 	 0.002443 	 0.019548
2 	 2.646963 	 1973176.000000 	 107.455193 	 -68.319977 	 200.433945 	 1973176.000000 	 -9.535320 	 3.649320 	 0.981000 	 -0.304478 	 -0.228358 	 0.865672 	 0.006109 	 0.003665 	 0.014661
1 	 2.669863 	 1979337.000000 	 -101.052910 	 -78.704704 	 311.159302 	 1979337.000000 	 -10.045441 	 -1.844280 	 0.470880 	 -0.673134 	 -0.035821 	 0.265672 	 0.000000 	 0.008552 	 0.024435
2 	 2.675586 	 1973196.000000 	 107.421402 	 -68.324364 	 200.408264 	 1973196.000000 	 -9.613801 	 3.610080 	 1.059480 	 -0.314925 	 -0.229851 	 0.877612 	 0.012217 	 0.006109 	 0.010996
1 	 2.698336 	 1979346.000000 	 -101.124557 	 -78.699249 	 311.091858 	 1979346.000000 	 -10.006201 	 -1.962000 	 0.588600 	 -0.664179 	 -0.034328 	 0.267164 	 0.002443 	 0.008552 	 0.015882
2 	 2.704163 	 1973226.000000 	 107.372101 	 -68.341858 	 200.357712 	 1973226.000000 	 -9.535320 	 3.570840 	 1.059480 	 -0.313433 	 -0.232836 	 0.873134 	 0.000000 	 0.008552 	 0.018326
1 	 2.726744 	 1979367.000000 	 -101.206497 	 -78.705368 	 311.012939 	 1979367.000000 	 -10.123920 	 -1.883520 	 0.470880 	 -0.662687 	 -0.028358 	 0.259701 	 -0.001222 	 0.009774 	 0.025656
2 	 2.732644 	 1973236.000000 	 107.368530 	 -68.350540 	 200.358032 	 1973236.000000 	 -9.613801 	 3.531600 	 1.098720 	 -0.326866 	 -0.238806 	 0.895522 	 0.012217 	 0.004887 	 0.013439
